ID;incident_dart;x;y;z
283;2156;-0.743584;0.000000;-0.097895
284;2164;-0.776791;-0.125000;-0.102267
285;2172;-0.867514;-0.216506;-0.114211
286;2180;-0.991445;-0.250000;-0.130526
287;2188;-1.115375;-0.216506;-0.146842
288;2196;-1.206099;-0.125000;-0.158786
289;2210;-1.250000;0.000000;0.000000
290;2212;-1.216506;0.125000;0.000000
291;2220;-1.125000;0.216506;0.000000
292;2228;-1.000000;0.250000;0.000000
293;2236;-0.875000;0.216506;0.000000
294;2244;-0.783494;0.125000;0.000000
295;2252;-0.750000;0.000000;0.000000
296;2260;-0.783494;-0.125000;-0.000000
297;2268;-0.875000;-0.216506;-0.000000
298;2276;-1.000000;-0.250000;-0.000000
299;2284;-1.125000;-0.216506;-0.000000
300;2292;-1.216506;-0.125000;-0.000000
301;2306;-1.239306;-0.000000;0.163158
302;2308;-1.206099;0.125000;0.158786
303;2316;-1.115375;0.216506;0.146842
304;2324;-0.991445;0.250000;0.130526
305;2332;-0.867514;0.216506;0.114211
306;2340;-0.776791;0.125000;0.102267
307;2348;-0.743584;-0.000000;0.097895
308;2356;-0.776791;-0.125000;0.102267
309;2364;-0.867514;-0.216506;0.114211
310;2372;-0.991445;-0.250000;0.130526
311;2380;-1.115375;-0.216506;0.146842
312;2388;-1.206099;-0.125000;0.158786
313;2402;-1.207407;-0.000000;0.323524
314;2404;-1.175055;0.125000;0.314855
315;2412;-1.086667;0.216506;0.291171
316;2420;-0.965926;0.250000;0.258819
317;2428;-0.845185;0.216506;0.226467
318;2436;-0.756797;0.125000;0.202783
319;2444;-0.724444;-0.000000;0.194114
320;2452;-0.756797;-0.125000;0.202783
321;2460;-0.845185;-0.216506;0.226467
322;2468;-0.965926;-0.250000;0.258819
323;2476;-1.086667;-0.216506;0.291171
324;2484;-1.175055;-0.125000;0.314855
325;2498;-1.154850;-0.000000;0.478354
326;2500;-1.123906;0.125000;0.465536
327;2508;-1.039365;0.216506;0.430518
328;2516;-0.923880;0.250000;0.382683
329;2524;-0.808395;0.216506;0.334848
330;2532;-0.723854;0.125000;0.299830
331;2540;-0.692910;-0.000000;0.287012
332;2548;-0.723854;-0.125000;0.299830
333;2556;-0.808395;-0.216506;0.334848
334;2564;-0.923880;-0.250000;0.382683
335;2572;-1.039365;-0.216506;0.430518
336;2580;-1.123906;-0.125000;0.465536
337;2594;-1.082532;-0.000000;0.625000
338;2596;-1.053526;0.125000;0.608253
339;2604;-0.974279;0.216506;0.562500
340;2612;-0.866026;0.250000;0.500000
341;2620;-0.757772;0.216506;0.437500
342;2628;-0.678525;0.125000;0.391747
343;2636;-0.649519;-0.000000;0.375000
344;2644;-0.678525;-0.125000;0.391747
345;2652;-0.757772;-0.216506;0.437500
346;2660;-0.866026;-0.250000;0.500000
347;2668;-0.974279;-0.216506;0.562500
348;2676;-1.053526;-0.125000;0.608253
349;2690;-0.991692;-0.000000;0.760952
350;2692;-0.965119;0.125000;0.740562
351;2700;-0.892522;0.216506;0.684857
352;2708;-0.793353;0.250000;0.608761
353;2716;-0.694184;0.216506;0.532666
354;2724;-0.621587;0.125000;0.476961
355;2732;-0.595015;-0.000000;0.456571
356;2740;-0.621587;-0.125000;0.476961
357;2748;-0.694184;-0.216506;0.532666
358;2756;-0.793353;-0.250000;0.608761
359;2764;-0.892522;-0.216506;0.684857
360;2772;-0.965119;-0.125000;0.740562
361;2786;-0.883884;-0.000000;0.883883
362;2788;-0.860200;0.125000;0.860200
363;2796;-0.795495;0.216506;0.795495
364;2804;-0.707107;0.250000;0.707107
365;2812;-0.618719;0.216506;0.618718
366;2820;-0.554014;0.125000;0.554013
367;2828;-0.530330;-0.000000;0.530330
368;2836;-0.554014;-0.125000;0.554013
369;2844;-0.618719;-0.216506;0.618718
370;2852;-0.707107;-0.250000;0.707107
371;2860;-0.795495;-0.216506;0.795495
372;2868;-0.860200;-0.125000;0.860200
373;2882;-0.760952;-0.000000;0.991691
374;2884;-0.740563;0.125000;0.965119
375;2892;-0.684857;0.216506;0.892522
376;2900;-0.608762;0.250000;0.793353
377;2908;-0.532667;0.216506;0.694184
378;2916;-0.476961;0.125000;0.621587
379;2924;-0.456571;-0.000000;0.595015
380;2932;-0.476961;-0.125000;0.621587
381;2940;-0.532667;-0.216506;0.694184
382;2948;-0.608762;-0.250000;0.793353
383;2956;-0.684857;-0.216506;0.892522
384;2964;-0.740563;-0.125000;0.965119
385;2978;-0.625000;-0.000000;1.082532
386;2980;-0.608253;0.125000;1.053526
387;2988;-0.562500;0.216506;0.974279
388;2996;-0.500000;0.250000;0.866026
389;3004;-0.437500;0.216506;0.757772
390;3012;-0.391747;0.125000;0.678525
391;3020;-0.375000;-0.000000;0.649519
392;3028;-0.391747;-0.125000;0.678525
393;3036;-0.437500;-0.216506;0.757772
394;3044;-0.500000;-0.250000;0.866026
395;3052;-0.562500;-0.216506;0.974279
396;3060;-0.608253;-0.125000;1.053526
397;3074;-0.478354;-0.000000;1.154849
398;3076;-0.465537;0.125000;1.123905
399;3084;-0.430519;0.216506;1.039364
400;3092;-0.382684;0.250000;0.923880
401;3100;-0.334848;0.216506;0.808395
402;3108;-0.299830;0.125000;0.723854
403;3116;-0.287013;-0.000000;0.692910
404;3124;-0.299830;-0.125000;0.723854
405;3132;-0.334848;-0.216506;0.808395
406;3140;-0.382684;-0.250000;0.923880
407;3148;-0.430519;-0.216506;1.039364
408;3156;-0.465537;-0.125000;1.123905
409;3170;-0.323524;-0.000000;1.207407
410;3172;-0.314855;0.125000;1.175055
411;3180;-0.291172;0.216506;1.086666
412;3188;-0.258819;0.250000;0.965926
413;3196;-0.226467;0.216506;0.845185
414;3204;-0.202783;0.125000;0.756797
415;3212;-0.194115;-0.000000;0.724444
416;3220;-0.202783;-0.125000;0.756797
417;3228;-0.226467;-0.216506;0.845185
418;3236;-0.258819;-0.250000;0.965926
419;3244;-0.291172;-0.216506;1.086666
420;3252;-0.314855;-0.125000;1.175055
421;3266;-0.163158;-0.000000;1.239306
422;3268;-0.158787;0.125000;1.206099
423;3276;-0.146843;0.216506;1.115375
424;3284;-0.130527;0.250000;0.991445
425;3292;-0.114211;0.216506;0.867514
426;3300;-0.102267;0.125000;0.776791
427;3308;-0.097895;-0.000000;0.743584
428;3316;-0.102267;-0.125000;0.776791
429;3324;-0.114211;-0.216506;0.867514
430;3332;-0.130527;-0.250000;0.991445
